,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,dprun_1.0_0.csv,1428,1428,1401,1420,395
1,dprun_1.5_0.csv,1428,1428,1397,1418,243
2,dprun_2.0_0.csv,1428,1428,1395,1420,155
3,dprun_2.5_0.csv,1428,1428,1383,1412,109
4,dprun_3.0_0.csv,1428,1428,1390,1407,76
5,dprun_3.5_0.csv,1428,1427,1382,1409,49
6,dprun_4.0_0.csv,1428,1428,1382,1403,28
7,dprun_4.5_0.csv,1428,1428,1376,1409,16
8,dprun_5.0_0.csv,1428,1428,1376,1396,12
9,dprun_5.5_0.csv,1428,1426,1375,1387,8
10,orig_data.csv,1428,0,0,0,0
