,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,swap_0.01.csv,1074,5,5,0,0
1,swap_0.060000000000000005.csv,1074,14,14,0,0
2,swap_0.11.csv,1074,27,27,0,0
3,swap_0.16000000000000003.csv,1074,38,38,0,0
4,swap_0.21000000000000002.csv,1074,42,42,0,0
5,swap_0.26.csv,1074,59,59,0,0
6,swap_0.31000000000000005.csv,1074,61,61,0,0
7,swap_0.36000000000000004.csv,1074,74,74,0,0
8,swap_0.41000000000000003.csv,1074,85,85,0,0
9,swap_0.46.csv,1074,93,93,0,0
10,swap_0.51.csv,1074,108,108,0,0
11,swap_0.56.csv,1074,125,125,0,0
12,swap_0.6100000000000001.csv,1074,120,120,0,0
13,swap_0.66.csv,1074,131,131,0,0
14,swap_0.7100000000000001.csv,1074,133,133,0,0
15,swap_0.76.csv,1074,167,167,0,0
16,swap_0.81.csv,1074,160,160,0,0
17,swap_0.8600000000000001.csv,1074,168,168,0,0
18,swap_0.91.csv,1074,192,192,0,0
19,swap_0.9600000000000001.csv,1074,170,170,0,0
