,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,swap_0.01.csv,1074,10,5,10,6
1,swap_0.060000000000000005.csv,1074,69,18,68,46
2,swap_0.11.csv,1074,160,24,156,92
3,swap_0.16000000000000003.csv,1074,281,38,266,156
4,swap_0.21000000000000002.csv,1074,430,45,409,230
5,swap_0.26.csv,1074,573,40,549,295
6,swap_0.31000000000000005.csv,1074,701,67,667,378
7,swap_0.36000000000000004.csv,1074,807,66,762,418
8,swap_0.41000000000000003.csv,1074,876,72,826,445
9,swap_0.46.csv,1074,948,95,910,465
10,swap_0.51.csv,1074,999,102,952,476
11,swap_0.56.csv,1074,1024,126,979,482
12,swap_0.6100000000000001.csv,1074,1029,128,996,504
13,swap_0.66.csv,1074,1038,119,1011,499
14,swap_0.7100000000000001.csv,1074,1047,102,1020,529
15,swap_0.76.csv,1074,1049,139,1019,500
16,swap_0.81.csv,1074,1050,147,1025,517
17,swap_0.8600000000000001.csv,1074,1048,162,1022,514
18,swap_0.91.csv,1074,1053,135,1026,566
19,swap_0.9600000000000001.csv,1074,1058,172,1037,559
