,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,dprun_1.0.csv,828,814,432,486,218
1,dprun_1.1.csv,828,813,422,423,209
2,dprun_1.20.csv,828,804,386,357,193
3,dprun_1.30.csv,828,794,326,363,149
4,dprun_1.40.csv,828,802,345,349,178
5,dprun_1.50.csv,828,795,306,312,160
6,dprun_1.60.csv,828,788,272,294,124
7,dprun_1.70.csv,828,806,262,249,129
8,dprun_1.80.csv,828,791,225,233,108
9,dprun_1.90.csv,828,784,208,221,109
10,dprun_2.00.csv,828,795,216,199,91
11,dprun_2.10.csv,828,792,178,156,91
12,dprun_2.20.csv,828,793,163,168,92
13,dprun_2.30.csv,828,791,158,146,62
14,dprun_2.40.csv,828,798,150,130,87
15,dprun_2.50.csv,828,794,133,119,54
16,dprun_2.60.csv,828,806,111,127,58
17,dprun_2.70.csv,828,790,95,110,63
18,dprun_2.80.csv,828,803,112,107,49
19,dprun_2.90.csv,828,799,81,82,41
20,dprun_3.00.csv,828,799,77,66,56
21,dprun_3.10.csv,828,804,65,78,40
22,dprun_3.20.csv,828,806,70,57,34
23,dprun_3.30.csv,828,800,52,60,30
24,dprun_3.40.csv,828,804,50,53,23
25,dprun_3.50.csv,828,805,45,50,26
26,dprun_3.60.csv,828,814,45,38,17
27,dprun_3.70.csv,828,815,36,46,25
28,dprun_3.80.csv,828,820,38,31,18
29,dprun_3.90.csv,828,815,39,30,18
30,dprun_4.00.csv,828,807,23,28,10
31,dprun_4.10.csv,828,820,28,18,16
32,dprun_4.20.csv,828,813,36,20,14
33,dprun_4.30.csv,828,819,18,22,12
34,dprun_4.40.csv,828,818,15,19,10
35,dprun_4.50.csv,828,818,15,12,7
36,dprun_4.60.csv,828,823,20,23,11
37,dprun_4.70.csv,828,825,16,13,6
38,dprun_4.80.csv,828,825,10,16,4
39,dprun_4.90.csv,828,820,13,16,4
40,dprun_5.00.csv,828,822,12,12,8
41,dprun_5.10.csv,828,824,7,9,8
42,dprun_5.20.csv,828,827,13,11,0
43,dprun_5.30.csv,828,823,10,8,9
44,dprun_5.40.csv,828,822,7,7,1
45,dprun_5.50.csv,828,827,6,7,3
46,dprun_5.60.csv,828,828,8,4,5
47,dprun_5.70.csv,828,827,4,12,4
48,dprun_5.80.csv,828,825,9,3,1
49,dprun_5.90.csv,828,826,5,1,1
50,dprun_6.00.csv,828,824,3,5,1
51,dprun_6.10.csv,828,826,3,2,3
52,dprun_6.20.csv,828,828,3,3,4
53,dprun_6.30.csv,828,826,2,4,0
54,dprun_6.40.csv,828,826,5,3,0
55,dprun_6.50.csv,828,825,1,2,0
56,dprun_6.60.csv,828,823,2,1,0
57,dprun_6.70.csv,828,826,1,0,2
58,dprun_6.80.csv,828,826,0,2,1
59,dprun_6.90.csv,828,827,0,2,0
60,orig_data.csv,828,0,0,0,0
