,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,swap_0.01.csv,828,4,4,0,0
1,swap_0.060000000000000005.csv,828,35,35,0,0
2,swap_0.11.csv,828,67,67,0,0
3,swap_0.16000000000000003.csv,828,92,92,0,0
4,swap_0.21000000000000002.csv,828,131,131,0,0
5,swap_0.26.csv,828,155,155,0,0
6,swap_0.31000000000000005.csv,828,183,183,0,0
7,swap_0.36000000000000004.csv,828,214,214,0,0
8,swap_0.41000000000000003.csv,828,256,256,0,0
9,swap_0.46.csv,828,264,264,0,0
10,swap_0.51.csv,828,289,289,0,0
11,swap_0.56.csv,828,317,317,0,0
12,swap_0.6100000000000001.csv,828,379,379,0,0
13,swap_0.66.csv,828,393,393,0,0
14,swap_0.7100000000000001.csv,828,440,440,0,0
15,swap_0.76.csv,828,446,446,0,0
16,swap_0.81.csv,828,485,485,0,0
17,swap_0.8600000000000001.csv,828,521,521,0,0
18,swap_0.91.csv,828,539,539,0,0
19,swap_0.9600000000000001.csv,828,549,549,0,0
