,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,swap_0.01.csv,828,8,5,7,5
1,swap_0.060000000000000005.csv,828,55,34,51,31
2,swap_0.11.csv,828,118,56,113,65
3,swap_0.16000000000000003.csv,828,186,107,170,90
4,swap_0.21000000000000002.csv,828,272,159,252,118
5,swap_0.26.csv,828,376,230,339,171
6,swap_0.31000000000000005.csv,828,463,285,428,215
7,swap_0.36000000000000004.csv,828,562,353,521,271
8,swap_0.41000000000000003.csv,828,641,410,600,311
9,swap_0.46.csv,828,712,483,667,333
10,swap_0.51.csv,828,764,507,725,389
11,swap_0.56.csv,828,796,524,747,393
12,swap_0.6100000000000001.csv,828,813,523,773,413
13,swap_0.66.csv,828,817,539,781,400
14,swap_0.7100000000000001.csv,828,821,555,780,391
15,swap_0.76.csv,828,814,550,780,398
16,swap_0.81.csv,828,818,524,788,424
17,swap_0.8600000000000001.csv,828,826,543,795,404
18,swap_0.91.csv,828,825,558,798,392
19,swap_0.9600000000000001.csv,828,824,544,792,418
