,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,dprun_1.0.csv,1033,1017,570,516,252
1,dprun_1.1.csv,1033,1013,525,510,280
2,dprun_1.20.csv,1033,1004,460,478,226
3,dprun_1.30.csv,1033,999,457,442,229
4,dprun_1.40.csv,1033,1003,419,431,185
5,dprun_1.50.csv,1033,994,387,385,187
6,dprun_1.60.csv,1033,984,346,346,174
7,dprun_1.70.csv,1033,1000,336,328,142
8,dprun_1.80.csv,1033,983,303,293,170
9,dprun_1.90.csv,1033,985,278,247,129
10,dprun_2.00.csv,1033,991,260,243,112
11,dprun_2.10.csv,1033,998,229,233,106
12,dprun_2.20.csv,1033,990,212,228,108
13,dprun_2.30.csv,1033,985,197,176,91
14,dprun_2.40.csv,1033,991,162,162,86
15,dprun_2.50.csv,1033,995,138,162,67
16,dprun_2.60.csv,1033,973,134,141,62
17,dprun_2.70.csv,1033,997,138,126,72
18,dprun_2.80.csv,1033,998,133,110,66
19,dprun_2.90.csv,1033,995,95,93,48
20,dprun_3.00.csv,1033,1002,102,102,41
21,dprun_3.10.csv,1033,996,89,85,37
22,dprun_3.20.csv,1033,1008,74,70,38
23,dprun_3.30.csv,1033,1011,80,61,39
24,dprun_3.40.csv,1033,1008,69,59,46
25,dprun_3.50.csv,1033,1010,64,78,32
26,dprun_3.60.csv,1033,1008,61,63,22
27,dprun_3.70.csv,1033,1008,49,58,20
28,dprun_3.80.csv,1033,1014,49,42,18
29,dprun_3.90.csv,1033,1014,47,33,25
30,dprun_4.00.csv,1033,1022,35,38,20
31,dprun_4.10.csv,1033,1021,33,41,20
32,dprun_4.20.csv,1033,1018,32,33,8
33,dprun_4.30.csv,1033,1023,35,33,11
34,dprun_4.40.csv,1033,1022,31,27,10
35,dprun_4.50.csv,1033,1024,18,21,13
36,dprun_4.60.csv,1033,1026,18,24,12
37,dprun_4.70.csv,1033,1027,22,13,11
38,dprun_4.80.csv,1033,1021,16,12,6
39,dprun_4.90.csv,1033,1029,14,12,11
40,dprun_5.00.csv,1033,1029,9,11,7
41,dprun_5.10.csv,1033,1027,10,4,5
42,dprun_5.20.csv,1033,1026,10,9,2
43,dprun_5.30.csv,1033,1029,13,6,9
44,dprun_5.40.csv,1033,1024,13,6,8
45,dprun_5.50.csv,1033,1030,8,9,5
46,dprun_5.60.csv,1033,1030,4,7,4
47,dprun_5.70.csv,1033,1029,6,9,1
48,dprun_5.80.csv,1033,1030,9,5,5
49,dprun_5.90.csv,1033,1027,6,6,5
50,dprun_6.00.csv,1033,1030,3,6,1
51,dprun_6.10.csv,1033,1032,3,2,1
52,dprun_6.20.csv,1033,1033,1,3,4
53,dprun_6.30.csv,1033,1031,6,2,1
54,dprun_6.40.csv,1033,1031,3,1,1
55,dprun_6.50.csv,1033,1032,2,3,3
56,dprun_6.60.csv,1033,1032,2,0,3
57,dprun_6.70.csv,1033,1032,2,2,1
58,dprun_6.80.csv,1033,1033,2,3,0
59,dprun_6.90.csv,1033,1033,2,3,1
60,orig_data.csv,1033,0,0,0,0
