,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,swap_0.01.csv,1033,10,9,10,5
1,swap_0.060000000000000005.csv,1033,68,50,62,33
2,swap_0.11.csv,1033,137,90,122,66
3,swap_0.16000000000000003.csv,1033,233,123,220,133
4,swap_0.21000000000000002.csv,1033,350,155,320,186
5,swap_0.26.csv,1033,493,198,455,258
6,swap_0.31000000000000005.csv,1033,634,267,597,334
7,swap_0.36000000000000004.csv,1033,763,292,714,378
8,swap_0.41000000000000003.csv,1033,856,333,805,430
9,swap_0.46.csv,1033,929,345,883,461
10,swap_0.51.csv,1033,969,354,917,452
11,swap_0.56.csv,1033,985,397,933,475
12,swap_0.6100000000000001.csv,1033,995,407,940,499
13,swap_0.66.csv,1033,1001,399,946,524
14,swap_0.7100000000000001.csv,1033,1012,404,975,503
15,swap_0.76.csv,1033,1011,393,971,516
16,swap_0.81.csv,1033,1013,436,989,508
17,swap_0.8600000000000001.csv,1033,1020,420,983,504
18,swap_0.91.csv,1033,1012,425,973,516
19,swap_0.9600000000000001.csv,1033,1022,434,987,507
