,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,swap_0.01.csv,979,9,8,8,3
1,swap_0.060000000000000005.csv,979,63,46,61,36
2,swap_0.11.csv,979,134,71,127,68
3,swap_0.16000000000000003.csv,979,238,88,221,120
4,swap_0.21000000000000002.csv,979,362,97,332,185
5,swap_0.26.csv,979,496,98,461,258
6,swap_0.31000000000000005.csv,979,623,107,577,332
7,swap_0.36000000000000004.csv,979,735,105,687,410
8,swap_0.41000000000000003.csv,979,818,119,766,427
9,swap_0.46.csv,979,885,124,832,469
10,swap_0.51.csv,979,914,120,876,485
11,swap_0.56.csv,979,935,128,889,483
12,swap_0.6100000000000001.csv,979,939,134,900,460
13,swap_0.66.csv,979,951,124,923,489
14,swap_0.7100000000000001.csv,979,954,142,924,511
15,swap_0.76.csv,979,964,154,935,496
16,swap_0.81.csv,979,962,159,936,495
17,swap_0.8600000000000001.csv,979,961,163,942,490
18,swap_0.91.csv,979,968,153,948,484
19,swap_0.9600000000000001.csv,979,963,162,939,478
