,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,dprun_1.0.csv,1257,1230,673,664,329
1,dprun_1.1.csv,1257,1235,645,605,301
2,dprun_1.20.csv,1257,1225,591,596,312
3,dprun_1.30.csv,1257,1218,554,545,265
4,dprun_1.40.csv,1257,1221,489,497,236
5,dprun_1.50.csv,1257,1218,499,470,233
6,dprun_1.60.csv,1257,1201,415,438,208
7,dprun_1.70.csv,1257,1206,371,390,162
8,dprun_1.80.csv,1257,1202,348,345,168
9,dprun_1.90.csv,1257,1209,340,332,152
10,dprun_2.00.csv,1257,1198,307,280,156
11,dprun_2.10.csv,1257,1199,280,273,126
12,dprun_2.20.csv,1257,1205,250,240,126
13,dprun_2.30.csv,1257,1198,242,217,119
14,dprun_2.40.csv,1257,1190,203,197,99
15,dprun_2.50.csv,1257,1202,170,177,91
16,dprun_2.60.csv,1257,1207,179,166,96
17,dprun_2.70.csv,1257,1206,172,143,89
18,dprun_2.80.csv,1257,1212,169,146,80
19,dprun_2.90.csv,1257,1215,142,116,67
20,dprun_3.00.csv,1257,1215,130,127,49
21,dprun_3.10.csv,1257,1217,112,118,47
22,dprun_3.20.csv,1257,1222,90,108,45
23,dprun_3.30.csv,1257,1227,91,85,54
24,dprun_3.40.csv,1257,1231,85,106,40
25,dprun_3.50.csv,1257,1222,76,88,42
26,dprun_3.60.csv,1257,1231,76,64,31
27,dprun_3.70.csv,1257,1229,58,63,20
28,dprun_3.80.csv,1257,1231,55,52,29
29,dprun_3.90.csv,1257,1232,47,44,20
30,dprun_4.00.csv,1257,1238,48,38,17
31,dprun_4.10.csv,1257,1241,39,53,25
32,dprun_4.20.csv,1257,1244,32,49,21
33,dprun_4.30.csv,1257,1234,21,33,17
34,dprun_4.40.csv,1257,1248,40,34,21
35,dprun_4.50.csv,1257,1242,18,28,6
36,dprun_4.60.csv,1257,1244,22,22,8
37,dprun_4.70.csv,1257,1240,22,24,12
38,dprun_4.80.csv,1257,1250,24,15,8
39,dprun_4.90.csv,1257,1247,20,23,9
40,dprun_5.00.csv,1257,1243,19,18,9
41,dprun_5.10.csv,1257,1252,15,13,12
42,dprun_5.20.csv,1257,1248,12,12,2
43,dprun_5.30.csv,1257,1252,4,10,6
44,dprun_5.40.csv,1257,1252,20,11,3
45,dprun_5.50.csv,1257,1251,9,10,7
46,dprun_5.60.csv,1257,1251,13,8,5
47,dprun_5.70.csv,1257,1255,7,9,2
48,dprun_5.80.csv,1257,1249,5,11,3
49,dprun_5.90.csv,1257,1254,4,8,2
50,dprun_6.00.csv,1257,1253,1,6,6
51,dprun_6.10.csv,1257,1254,7,8,2
52,dprun_6.20.csv,1257,1255,3,6,2
53,dprun_6.30.csv,1257,1256,2,4,2
54,dprun_6.40.csv,1257,1254,6,2,2
55,dprun_6.50.csv,1257,1255,1,2,3
56,dprun_6.60.csv,1257,1256,2,4,2
57,dprun_6.70.csv,1257,1254,6,5,1
58,dprun_6.80.csv,1257,1257,3,4,0
59,dprun_6.90.csv,1257,1257,3,4,3
60,orig_data.csv,1257,0,0,0,0
