,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,swap_0.01.csv,1257,12,12,0,0
1,swap_0.060000000000000005.csv,1257,72,72,0,0
2,swap_0.11.csv,1257,121,121,0,0
3,swap_0.16000000000000003.csv,1257,179,179,0,0
4,swap_0.21000000000000002.csv,1257,239,239,0,0
5,swap_0.26.csv,1257,300,300,0,0
6,swap_0.31000000000000005.csv,1257,356,356,0,0
7,swap_0.36000000000000004.csv,1257,403,403,0,0
8,swap_0.41000000000000003.csv,1257,467,467,0,0
9,swap_0.46.csv,1257,504,504,0,0
10,swap_0.51.csv,1257,554,554,0,0
11,swap_0.56.csv,1257,617,617,0,0
12,swap_0.6100000000000001.csv,1257,660,660,0,0
13,swap_0.66.csv,1257,698,698,0,0
14,swap_0.7100000000000001.csv,1257,734,734,0,0
15,swap_0.76.csv,1257,793,793,0,0
16,swap_0.81.csv,1257,867,867,0,0
17,swap_0.8600000000000001.csv,1257,879,879,0,0
18,swap_0.91.csv,1257,938,938,0,0
19,swap_0.9600000000000001.csv,1257,962,962,0,0
