,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,swap_0.01.csv,1257,13,8,10,5
1,swap_0.060000000000000005.csv,1257,85,46,76,46
2,swap_0.11.csv,1257,208,117,189,107
3,swap_0.16000000000000003.csv,1257,346,209,316,186
4,swap_0.21000000000000002.csv,1257,429,247,386,220
5,swap_0.26.csv,1257,532,305,485,282
6,swap_0.31000000000000005.csv,1257,666,379,615,327
7,swap_0.36000000000000004.csv,1257,805,464,740,408
8,swap_0.41000000000000003.csv,1257,919,534,856,475
9,swap_0.46.csv,1257,1015,581,953,530
10,swap_0.51.csv,1257,1094,626,1022,573
11,swap_0.56.csv,1257,1161,665,1102,588
12,swap_0.6100000000000001.csv,1257,1189,699,1127,612
13,swap_0.66.csv,1257,1220,726,1150,608
14,swap_0.7100000000000001.csv,1257,1230,727,1172,622
15,swap_0.76.csv,1257,1239,724,1182,649
16,swap_0.81.csv,1257,1238,741,1180,609
17,swap_0.8600000000000001.csv,1257,1243,747,1190,576
18,swap_0.91.csv,1257,1250,738,1197,636
19,swap_0.9600000000000001.csv,1257,1250,765,1207,668
