,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,dprun_1.0.csv,1106,1085,610,600,289
1,dprun_1.1.csv,1106,1081,543,552,269
2,dprun_1.20.csv,1106,1070,513,522,257
3,dprun_1.30.csv,1106,1075,467,460,249
4,dprun_1.40.csv,1106,1072,453,456,253
5,dprun_1.50.csv,1106,1075,416,398,225
6,dprun_1.60.csv,1106,1059,347,389,184
7,dprun_1.70.csv,1106,1063,355,334,166
8,dprun_1.80.csv,1106,1062,317,306,166
9,dprun_1.90.csv,1106,1047,289,291,146
10,dprun_2.00.csv,1106,1048,278,265,134
11,dprun_2.10.csv,1106,1058,264,247,120
12,dprun_2.20.csv,1106,1059,213,221,104
13,dprun_2.30.csv,1106,1055,195,228,105
14,dprun_2.40.csv,1106,1059,167,177,100
15,dprun_2.50.csv,1106,1048,147,166,70
16,dprun_2.60.csv,1106,1062,149,159,86
17,dprun_2.70.csv,1106,1061,144,132,70
18,dprun_2.80.csv,1106,1061,121,125,54
19,dprun_2.90.csv,1106,1074,108,111,56
20,dprun_3.00.csv,1106,1067,104,108,57
21,dprun_3.10.csv,1106,1070,89,98,54
22,dprun_3.20.csv,1106,1063,81,86,44
23,dprun_3.30.csv,1106,1067,71,60,38
24,dprun_3.40.csv,1106,1079,80,78,33
25,dprun_3.50.csv,1106,1079,72,86,24
26,dprun_3.60.csv,1106,1084,66,69,24
27,dprun_3.70.csv,1106,1087,55,50,36
28,dprun_3.80.csv,1106,1089,44,51,24
29,dprun_3.90.csv,1106,1082,50,47,21
30,dprun_4.00.csv,1106,1089,47,31,17
31,dprun_4.10.csv,1106,1090,42,40,24
32,dprun_4.20.csv,1106,1093,29,35,24
33,dprun_4.30.csv,1106,1093,28,25,19
34,dprun_4.40.csv,1106,1095,31,20,12
35,dprun_4.50.csv,1106,1096,23,35,15
36,dprun_4.60.csv,1106,1091,20,14,7
37,dprun_4.70.csv,1106,1100,17,17,8
38,dprun_4.80.csv,1106,1099,16,32,10
39,dprun_4.90.csv,1106,1100,14,9,15
40,dprun_5.00.csv,1106,1103,18,15,3
41,dprun_5.10.csv,1106,1096,12,10,11
42,dprun_5.20.csv,1106,1100,15,9,5
43,dprun_5.30.csv,1106,1105,14,12,7
44,dprun_5.40.csv,1106,1104,5,17,1
45,dprun_5.50.csv,1106,1101,9,8,5
46,dprun_5.60.csv,1106,1099,10,10,2
47,dprun_5.70.csv,1106,1101,9,7,3
48,dprun_5.80.csv,1106,1104,11,10,2
49,dprun_5.90.csv,1106,1101,6,7,4
50,dprun_6.00.csv,1106,1105,6,4,2
51,dprun_6.10.csv,1106,1104,4,6,3
52,dprun_6.20.csv,1106,1102,1,5,0
53,dprun_6.30.csv,1106,1106,3,6,4
54,dprun_6.40.csv,1106,1106,4,4,2
55,dprun_6.50.csv,1106,1104,2,2,4
56,dprun_6.60.csv,1106,1104,3,7,1
57,dprun_6.70.csv,1106,1106,3,2,1
58,dprun_6.80.csv,1106,1105,4,3,0
59,dprun_6.90.csv,1106,1105,2,1,2
60,orig_data.csv,1106,0,0,0,0
