,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,swap_0.01.csv,1106,11,9,9,7
1,swap_0.060000000000000005.csv,1106,70,37,64,45
2,swap_0.11.csv,1106,159,50,149,88
3,swap_0.16000000000000003.csv,1106,283,63,267,139
4,swap_0.21000000000000002.csv,1106,422,63,403,195
5,swap_0.26.csv,1106,580,79,549,276
6,swap_0.31000000000000005.csv,1106,722,90,684,354
7,swap_0.36000000000000004.csv,1106,834,100,791,429
8,swap_0.41000000000000003.csv,1106,920,103,879,486
9,swap_0.46.csv,1106,979,106,933,529
10,swap_0.51.csv,1106,1039,132,996,532
11,swap_0.56.csv,1106,1055,150,1017,536
12,swap_0.6100000000000001.csv,1106,1057,162,1030,535
13,swap_0.66.csv,1106,1077,167,1047,524
14,swap_0.7100000000000001.csv,1106,1083,170,1052,536
15,swap_0.76.csv,1106,1077,162,1047,559
16,swap_0.81.csv,1106,1084,181,1064,550
17,swap_0.8600000000000001.csv,1106,1094,190,1058,533
18,swap_0.91.csv,1106,1084,190,1062,547
19,swap_0.9600000000000001.csv,1106,1077,186,1046,548
