,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,dprun_1.0.csv,1428,1409,794,771,377
1,dprun_1.1.csv,1428,1403,765,727,365
2,dprun_1.20.csv,1428,1392,670,639,309
3,dprun_1.30.csv,1428,1385,630,600,286
4,dprun_1.40.csv,1428,1386,556,544,273
5,dprun_1.50.csv,1428,1365,507,480,248
6,dprun_1.60.csv,1428,1366,444,473,256
7,dprun_1.70.csv,1428,1377,462,438,201
8,dprun_1.80.csv,1428,1372,409,383,193
9,dprun_1.90.csv,1428,1358,364,371,169
10,dprun_2.00.csv,1428,1354,331,362,154
11,dprun_2.10.csv,1428,1385,328,315,148
12,dprun_2.20.csv,1428,1366,286,286,137
13,dprun_2.30.csv,1428,1371,257,264,112
14,dprun_2.40.csv,1428,1357,216,211,118
15,dprun_2.50.csv,1428,1360,218,213,120
16,dprun_2.60.csv,1428,1373,202,230,96
17,dprun_2.70.csv,1428,1365,174,178,89
18,dprun_2.80.csv,1428,1386,152,150,83
19,dprun_2.90.csv,1428,1373,160,167,74
20,dprun_3.00.csv,1428,1380,134,156,69
21,dprun_3.10.csv,1428,1399,139,128,61
22,dprun_3.20.csv,1428,1395,123,119,51
23,dprun_3.30.csv,1428,1394,96,113,48
24,dprun_3.40.csv,1428,1391,94,86,53
25,dprun_3.50.csv,1428,1391,88,69,38
26,dprun_3.60.csv,1428,1398,87,74,29
27,dprun_3.70.csv,1428,1395,68,63,31
28,dprun_3.80.csv,1428,1402,58,64,27
29,dprun_3.90.csv,1428,1404,78,43,28
30,dprun_4.00.csv,1428,1401,54,41,14
31,dprun_4.10.csv,1428,1404,42,42,21
32,dprun_4.20.csv,1428,1413,42,34,17
33,dprun_4.30.csv,1428,1412,40,31,27
34,dprun_4.40.csv,1428,1411,35,42,19
35,dprun_4.50.csv,1428,1412,28,39,18
36,dprun_4.60.csv,1428,1417,38,39,18
37,dprun_4.70.csv,1428,1420,29,29,11
38,dprun_4.80.csv,1428,1418,22,16,9
39,dprun_4.90.csv,1428,1418,23,21,9
40,dprun_5.00.csv,1428,1423,20,21,10
41,dprun_5.10.csv,1428,1415,20,9,14
42,dprun_5.20.csv,1428,1418,15,18,9
43,dprun_5.30.csv,1428,1422,12,17,4
44,dprun_5.40.csv,1428,1424,7,16,6
45,dprun_5.50.csv,1428,1424,9,17,6
46,dprun_5.60.csv,1428,1423,9,5,8
47,dprun_5.70.csv,1428,1424,5,5,5
48,dprun_5.80.csv,1428,1420,10,13,6
49,dprun_5.90.csv,1428,1422,3,6,3
50,dprun_6.00.csv,1428,1424,7,6,4
51,dprun_6.10.csv,1428,1425,8,4,2
52,dprun_6.20.csv,1428,1424,9,5,4
53,dprun_6.30.csv,1428,1425,5,3,2
54,dprun_6.40.csv,1428,1423,3,4,4
55,dprun_6.50.csv,1428,1426,2,4,1
56,dprun_6.60.csv,1428,1427,4,7,1
57,dprun_6.70.csv,1428,1427,7,4,5
58,dprun_6.80.csv,1428,1427,4,1,3
59,dprun_6.90.csv,1428,1425,2,2,1
60,orig_data.csv,1428,0,0,0,0
