,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,swap_0.01.csv,1428,14,11,13,8
1,swap_0.060000000000000005.csv,1428,97,67,91,42
2,swap_0.11.csv,1428,208,126,187,101
3,swap_0.16000000000000003.csv,1428,346,162,317,177
4,swap_0.21000000000000002.csv,1428,521,215,474,266
5,swap_0.26.csv,1428,712,281,657,367
6,swap_0.31000000000000005.csv,1428,899,337,839,463
7,swap_0.36000000000000004.csv,1428,1067,388,1003,554
8,swap_0.41000000000000003.csv,1428,1176,413,1113,609
9,swap_0.46.csv,1428,1252,438,1196,638
10,swap_0.51.csv,1428,1331,445,1275,673
11,swap_0.56.csv,1428,1370,464,1310,722
12,swap_0.6100000000000001.csv,1428,1374,485,1309,695
13,swap_0.66.csv,1428,1394,493,1326,717
14,swap_0.7100000000000001.csv,1428,1399,503,1346,729
15,swap_0.76.csv,1428,1397,492,1345,696
16,swap_0.81.csv,1428,1402,508,1354,692
17,swap_0.8600000000000001.csv,1428,1408,528,1348,679
18,swap_0.91.csv,1428,1413,521,1356,737
19,swap_0.9600000000000001.csv,1428,1412,552,1375,703
