,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,dprun_1.0.csv,1089,1074,581,561,284
1,dprun_1.1.csv,1089,1070,527,527,281
2,dprun_1.20.csv,1089,1058,520,510,267
3,dprun_1.30.csv,1089,1053,449,458,241
4,dprun_1.40.csv,1089,1051,426,462,209
5,dprun_1.50.csv,1089,1041,375,394,198
6,dprun_1.60.csv,1089,1029,354,357,189
7,dprun_1.70.csv,1089,1049,309,334,170
8,dprun_1.80.csv,1089,1030,302,317,143
9,dprun_1.90.csv,1089,1040,294,281,140
10,dprun_2.00.csv,1089,1044,250,257,127
11,dprun_2.10.csv,1089,1044,235,225,137
12,dprun_2.20.csv,1089,1035,214,206,113
13,dprun_2.30.csv,1089,1047,211,191,93
14,dprun_2.40.csv,1089,1042,178,168,87
15,dprun_2.50.csv,1089,1051,150,170,66
16,dprun_2.60.csv,1089,1051,152,164,72
17,dprun_2.70.csv,1089,1061,141,134,85
18,dprun_2.80.csv,1089,1058,129,114,57
19,dprun_2.90.csv,1089,1049,104,104,64
20,dprun_3.00.csv,1089,1057,99,88,62
21,dprun_3.10.csv,1089,1049,98,92,49
22,dprun_3.20.csv,1089,1057,90,82,36
23,dprun_3.30.csv,1089,1070,89,76,43
24,dprun_3.40.csv,1089,1065,86,56,35
25,dprun_3.50.csv,1089,1068,58,68,31
26,dprun_3.60.csv,1089,1057,63,65,25
27,dprun_3.70.csv,1089,1071,50,48,18
28,dprun_3.80.csv,1089,1070,44,55,24
29,dprun_3.90.csv,1089,1066,42,41,20
30,dprun_4.00.csv,1089,1072,52,40,12
31,dprun_4.10.csv,1089,1068,31,36,12
32,dprun_4.20.csv,1089,1078,27,18,19
33,dprun_4.30.csv,1089,1071,27,21,4
34,dprun_4.40.csv,1089,1075,19,30,12
35,dprun_4.50.csv,1089,1078,27,23,8
36,dprun_4.60.csv,1089,1080,18,12,13
37,dprun_4.70.csv,1089,1082,18,26,15
38,dprun_4.80.csv,1089,1082,25,15,6
39,dprun_4.90.csv,1089,1082,18,14,8
40,dprun_5.00.csv,1089,1080,24,9,6
41,dprun_5.10.csv,1089,1085,11,13,6
42,dprun_5.20.csv,1089,1081,4,5,4
43,dprun_5.30.csv,1089,1081,12,6,6
44,dprun_5.40.csv,1089,1088,11,10,1
45,dprun_5.50.csv,1089,1084,8,7,2
46,dprun_5.60.csv,1089,1084,17,9,3
47,dprun_5.70.csv,1089,1088,15,7,5
48,dprun_5.80.csv,1089,1089,6,5,4
49,dprun_5.90.csv,1089,1088,5,4,2
50,dprun_6.00.csv,1089,1086,9,5,0
51,dprun_6.10.csv,1089,1085,5,6,2
52,dprun_6.20.csv,1089,1083,5,7,2
53,dprun_6.30.csv,1089,1087,6,4,3
54,dprun_6.40.csv,1089,1089,6,7,3
55,dprun_6.50.csv,1089,1089,3,3,1
56,dprun_6.60.csv,1089,1088,4,3,2
57,dprun_6.70.csv,1089,1086,3,2,0
58,dprun_6.80.csv,1089,1087,1,5,1
59,dprun_6.90.csv,1089,1088,2,3,1
60,orig_data.csv,1089,0,0,0,0
