,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,swap_0.01.csv,1089,10,6,8,5
1,swap_0.060000000000000005.csv,1089,65,30,63,32
2,swap_0.11.csv,1089,154,33,147,80
3,swap_0.16000000000000003.csv,1089,267,37,260,136
4,swap_0.21000000000000002.csv,1089,413,40,401,206
5,swap_0.26.csv,1089,571,40,550,285
6,swap_0.31000000000000005.csv,1089,712,44,690,362
7,swap_0.36000000000000004.csv,1089,818,39,787,432
8,swap_0.41000000000000003.csv,1089,906,45,868,461
9,swap_0.46.csv,1089,965,55,931,493
10,swap_0.51.csv,1089,1017,57,968,533
11,swap_0.56.csv,1089,1031,54,987,536
12,swap_0.6100000000000001.csv,1089,1047,47,1004,514
13,swap_0.66.csv,1089,1052,53,1013,550
14,swap_0.7100000000000001.csv,1089,1060,53,1038,527
15,swap_0.76.csv,1089,1056,60,1028,519
16,swap_0.81.csv,1089,1059,67,1028,542
17,swap_0.8600000000000001.csv,1089,1069,55,1040,549
18,swap_0.91.csv,1089,1065,63,1035,546
19,swap_0.9600000000000001.csv,1089,1074,73,1042,555
