"Label","Alameda County, California!!Total!!Estimate","Alameda County, California!!Total!!Margin of Error","Alameda County, California!!Percent!!Estimate","Alameda County, California!!Percent!!Margin of Error","Alameda County, California!!Male!!Estimate","Alameda County, California!!Male!!Margin of Error","Alameda County, California!!Percent Male!!Estimate","Alameda County, California!!Percent Male!!Margin of Error","Alameda County, California!!Female!!Estimate","Alameda County, California!!Female!!Margin of Error","Alameda County, California!!Percent Female!!Estimate","Alameda County, California!!Percent Female!!Margin of Error"
"Total population","1,671,329","*****","(X)","(X)","823,696","±335","(X)","(X)","847,633","±335","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","94,363","±411","5.6%","±0.1","48,598","±418","5.9%","±0.1","45,765","±216","5.4%","±0.1"
"        5 to 9 years","91,895","±4,131","5.5%","±0.2","47,995","±3,063","5.8%","±0.4","43,900","±2,808","5.2%","±0.3"
"        10 to 14 years","98,489","±4,179","5.9%","±0.3","49,668","±3,040","6.0%","±0.4","48,821","±2,838","5.8%","±0.3"
"        15 to 19 years","94,790","±334","5.7%","±0.1","47,851","±377","5.8%","±0.1","46,939","±334","5.5%","±0.1"
"        20 to 24 years","96,685","±356","5.8%","±0.1","48,149","±274","5.8%","±0.1","48,536","±252","5.7%","±0.1"
"        25 to 29 years","134,248","±290","8.0%","±0.1","67,855","±197","8.2%","±0.1","66,393","±176","7.8%","±0.1"
"        30 to 34 years","144,544","±534","8.6%","±0.1","72,710","±348","8.8%","±0.1","71,834","±410","8.5%","±0.1"
"        35 to 39 years","133,725","±4,605","8.0%","±0.3","66,040","±3,585","8.0%","±0.4","67,685","±2,905","8.0%","±0.3"
"        40 to 44 years","121,955","±4,590","7.3%","±0.3","61,982","±3,541","7.5%","±0.4","59,973","±2,920","7.1%","±0.3"
"        45 to 49 years","113,531","±682","6.8%","±0.1","56,450","±454","6.9%","±0.1","57,081","±466","6.7%","±0.1"
"        50 to 54 years","105,319","±752","6.3%","±0.1","52,743","±428","6.4%","±0.1","52,576","±401","6.2%","±0.1"
"        55 to 59 years","105,639","±4,320","6.3%","±0.3","52,656","±2,990","6.4%","±0.4","52,983","±2,518","6.3%","±0.3"
"        60 to 64 years","97,869","±4,329","5.9%","±0.3","46,508","±3,006","5.6%","±0.4","51,361","±2,519","6.1%","±0.3"
"        65 to 69 years","75,397","±2,996","4.5%","±0.2","34,360","±2,166","4.2%","±0.3","41,037","±2,033","4.8%","±0.2"
"        70 to 74 years","65,143","±2,967","3.9%","±0.2","30,052","±2,159","3.6%","±0.3","35,091","±1,970","4.1%","±0.2"
"        75 to 79 years","39,345","±2,746","2.4%","±0.2","16,719","±1,579","2.0%","±0.2","22,626","±1,934","2.7%","±0.2"
"        80 to 84 years","28,761","±2,360","1.7%","±0.1","11,807","±1,404","1.4%","±0.2","16,954","±1,660","2.0%","±0.2"
"        85 years and over","29,631","±2,258","1.8%","±0.1","11,553","±1,444","1.4%","±0.2","18,078","±1,620","2.1%","±0.2"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","190,384","±488","11.4%","±0.1","97,663","±409","11.9%","±0.1","92,721","±252","10.9%","±0.1"
"        15 to 17 years","55,351","±252","3.3%","±0.1","28,168","±247","3.4%","±0.1","27,183","±207","3.2%","±0.1"
"        Under 18 years","340,098","*****","20.3%","*****","174,429","±334","21.2%","±0.1","165,669","±336","19.5%","±0.1"
"        18 to 24 years","136,124","±261","8.1%","±0.1","67,832","±193","8.2%","±0.1","68,292","±176","8.1%","±0.1"
"        15 to 44 years","725,947","±755","43.4%","±0.1","364,587","±473","44.3%","±0.1","361,360","±592","42.6%","±0.1"
"        16 years and over","1,368,100","±1,962","81.9%","±0.1","667,448","±1,516","81.0%","±0.2","700,652","±1,438","82.7%","±0.2"
"        18 years and over","1,331,231","*****","79.7%","*****","649,267","*****","78.8%","±0.1","681,964","*****","80.5%","±0.1"
"        21 years and over","1,272,797","±2,018","76.2%","±0.1","619,057","±1,653","75.2%","±0.2","653,740","±1,144","77.1%","±0.1"
"        60 years and over","336,146","±4,320","20.1%","±0.3","150,999","±2,990","18.3%","±0.4","185,147","±2,519","21.8%","±0.3"
"        62 years and over","292,982","±3,687","17.5%","±0.2","130,528","±2,310","15.8%","±0.3","162,454","±2,423","19.2%","±0.3"
"        65 years and over","238,277","±178","14.3%","±0.1","104,491","±178","12.7%","±0.1","133,786","*****","15.8%","±0.1"
"        75 years and over","97,737","±437","5.8%","±0.1","40,079","±218","4.9%","±0.1","57,658","±409","6.8%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","38.0","±0.2","(X)","(X)","37.2","±0.2","(X)","(X)","38.7","±0.2","(X)","(X)"
"        Sex ratio (males per 100 females)","97.2","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","52.9","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","21.8","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","31.1","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","2.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
