"Label","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Alameda County, California!!Percent","Alameda County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","622,957","±680","622,957","(X)"
"        Occupied housing units","585,632","±3,709","94.0%","±0.6"
"        Vacant housing units","37,325","±3,717","6.0%","±0.6"
"        Homeowner vacancy rate","1.0","±0.4","(X)","(X)"
"        Rental vacancy rate","3.4","±0.6","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","622,957","±680","622,957","(X)"
"        1-unit, detached","325,131","±5,485","52.2%","±0.9"
"        1-unit, attached","50,750","±3,276","8.1%","±0.5"
"        2 units","23,840","±2,335","3.8%","±0.4"
"        3 or 4 units","42,049","±3,175","6.7%","±0.5"
"        5 to 9 units","34,068","±2,731","5.5%","±0.4"
"        10 to 19 units","32,649","±2,967","5.2%","±0.5"
"        20 or more units","106,782","±4,640","17.1%","±0.7"
"        Mobile home","7,422","±1,061","1.2%","±0.2"
"        Boat, RV, van, etc.","266","±178","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","622,957","±680","622,957","(X)"
"        Built 2014 or later","18,031","±1,862","2.9%","±0.3"
"        Built 2010 to 2013","8,865","±1,316","1.4%","±0.2"
"        Built 2000 to 2009","46,168","±3,263","7.4%","±0.5"
"        Built 1990 to 1999","53,885","±3,481","8.6%","±0.6"
"        Built 1980 to 1989","66,967","±3,546","10.7%","±0.6"
"        Built 1970 to 1979","98,930","±4,730","15.9%","±0.8"
"        Built 1960 to 1969","87,371","±4,743","14.0%","±0.8"
"        Built 1950 to 1959","82,772","±4,218","13.3%","±0.7"
"        Built 1940 to 1949","40,903","±2,760","6.6%","±0.4"
"        Built 1939 or earlier","119,065","±4,253","19.1%","±0.7"
"ROOMS","","","",""
"    Total housing units","622,957","±680","622,957","(X)"
"        1 room","25,654","±2,358","4.1%","±0.4"
"        2 rooms","36,320","±3,101","5.8%","±0.5"
"        3 rooms","96,000","±4,475","15.4%","±0.7"
"        4 rooms","131,939","±4,972","21.2%","±0.8"
"        5 rooms","112,208","±4,712","18.0%","±0.8"
"        6 rooms","92,278","±4,648","14.8%","±0.7"
"        7 rooms","52,035","±3,163","8.4%","±0.5"
"        8 rooms","36,824","±2,854","5.9%","±0.5"
"        9 rooms or more","39,699","±2,794","6.4%","±0.4"
"        Median rooms","4.7","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","622,957","±680","622,957","(X)"
"        No bedroom","29,508","±2,514","4.7%","±0.4"
"        1 bedroom","100,226","±5,220","16.1%","±0.8"
"        2 bedrooms","173,891","±5,471","27.9%","±0.9"
"        3 bedrooms","190,173","±5,667","30.5%","±0.9"
"        4 bedrooms","103,845","±4,231","16.7%","±0.7"
"        5 or more bedrooms","25,314","±2,515","4.1%","±0.4"
"HOUSING TENURE","","","",""
"    Occupied housing units","585,632","±3,709","585,632","(X)"
"        Owner-occupied","310,526","±5,902","53.0%","±1.0"
"        Renter-occupied","275,106","±6,069","47.0%","±1.0"
"        Average household size of owner-occupied unit","2.95","±0.04","(X)","(X)"
"        Average household size of renter-occupied unit","2.63","±0.04","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","585,632","±3,709","585,632","(X)"
"        Moved in 2017 or later","155,242","±4,811","26.5%","±0.8"
"        Moved in 2015 to 2016","74,732","±4,051","12.8%","±0.7"
"        Moved in 2010 to 2014","115,424","±4,224","19.7%","±0.7"
"        Moved in 2000 to 2009","116,673","±5,006","19.9%","±0.8"
"        Moved in 1990 to 1999","60,487","±3,187","10.3%","±0.5"
"        Moved in 1989 and earlier","63,074","±2,880","10.8%","±0.5"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","585,632","±3,709","585,632","(X)"
"        No vehicles available","53,446","±3,510","9.1%","±0.6"
"        1 vehicle available","192,335","±5,588","32.8%","±0.9"
"        2 vehicles available","211,548","±5,305","36.1%","±0.9"
"        3 or more vehicles available","128,303","±4,219","21.9%","±0.7"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","585,632","±3,709","585,632","(X)"
"        Utility gas","417,418","±7,421","71.3%","±1.1"
"        Bottled, tank, or LP gas","6,482","±1,192","1.1%","±0.2"
"        Electricity","144,327","±5,800","24.6%","±1.0"
"        Fuel oil, kerosene, etc.","192","±195","0.0%","±0.1"
"        Coal or coke","263","±253","0.0%","±0.1"
"        Wood","1,387","±583","0.2%","±0.1"
"        Solar energy","2,843","±716","0.5%","±0.1"
"        Other fuel","779","±322","0.1%","±0.1"
"        No fuel used","11,941","±1,768","2.0%","±0.3"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","585,632","±3,709","585,632","(X)"
"        Lacking complete plumbing facilities","2,537","±862","0.4%","±0.1"
"        Lacking complete kitchen facilities","4,913","±1,261","0.8%","±0.2"
"        No telephone service available","3,442","±928","0.6%","±0.2"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","585,632","±3,709","585,632","(X)"
"        1.00 or less","543,503","±4,601","92.8%","±0.5"
"        1.01 to 1.50","27,975","±2,619","4.8%","±0.4"
"        1.51 or more","14,154","±1,758","2.4%","±0.3"
"VALUE","","","",""
"    Owner-occupied units","310,526","±5,902","310,526","(X)"
"        Less than $50,000","2,401","±650","0.8%","±0.2"
