"Label","Armstrong County, Pennsylvania!!Total!!Estimate","Armstrong County, Pennsylvania!!Total!!Margin of Error","Armstrong County, Pennsylvania!!Percent!!Estimate","Armstrong County, Pennsylvania!!Percent!!Margin of Error","Armstrong County, Pennsylvania!!Male!!Estimate","Armstrong County, Pennsylvania!!Male!!Margin of Error","Armstrong County, Pennsylvania!!Percent Male!!Estimate","Armstrong County, Pennsylvania!!Percent Male!!Margin of Error","Armstrong County, Pennsylvania!!Female!!Estimate","Armstrong County, Pennsylvania!!Female!!Margin of Error","Armstrong County, Pennsylvania!!Percent Female!!Estimate","Armstrong County, Pennsylvania!!Percent Female!!Margin of Error"
"Total population","64,735","*****","(X)","(X)","32,410","±387","(X)","(X)","32,325","±387","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","3,375","±254","5.2%","±0.4","1,658","±179","5.1%","±0.5","1,717","±247","5.3%","±0.7"
"        5 to 9 years","4,083","±497","6.3%","±0.8","2,106","±328","6.5%","±1.0","1,977","±320","6.1%","±1.0"
"        10 to 14 years","2,824","±477","4.4%","±0.7","1,533","±320","4.7%","±1.0","1,291","±323","4.0%","±1.0"
"        15 to 19 years","3,176","±30","4.9%","±0.1","1,602","±25","4.9%","±0.1","1,574","±18","4.9%","±0.1"
"        20 to 24 years","3,126","±117","4.8%","±0.2","1,652","±108","5.1%","±0.3","1,474","±40","4.6%","±0.1"
"        25 to 29 years","3,447","±29","5.3%","±0.1","1,807","±29","5.6%","±0.1","1,640","±182","5.1%","±0.1"
"        30 to 34 years","3,793","±357","5.9%","±0.6","2,214","±357","6.8%","±1.1","1,579","±182","4.9%","±0.1"
"        35 to 39 years","3,206","±538","5.0%","±0.8","1,717","±378","5.3%","±1.2","1,489","±314","4.6%","±1.0"
"        40 to 44 years","3,862","±554","6.0%","±0.9","1,840","±390","5.7%","±1.2","2,022","±319","6.3%","±1.0"
"        45 to 49 years","4,057","±103","6.3%","±0.2","2,067","±51","6.4%","±0.2","1,990","±52","6.2%","±0.2"
"        50 to 54 years","4,555","±160","7.0%","±0.2","2,237","±108","6.9%","±0.3","2,318","±125","7.2%","±0.4"
"        55 to 59 years","4,469","±672","6.9%","±1.0","2,294","±428","7.1%","±1.3","2,175","±397","6.7%","±1.2"
"        60 to 64 years","6,111","±691","9.4%","±1.1","3,037","±428","9.4%","±1.3","3,074","±417","9.5%","±1.3"
"        65 to 69 years","4,680","±451","7.2%","±0.7","2,200","±316","6.8%","±1.0","2,480","±368","7.7%","±1.1"
"        70 to 74 years","3,645","±470","5.6%","±0.7","1,893","±341","5.8%","±1.1","1,752","±392","5.4%","±1.2"
"        75 to 79 years","2,381","±481","3.7%","±0.7","1,077","±314","3.3%","±1.0","1,304","±366","4.0%","±1.1"
"        80 to 84 years","2,283","±554","3.5%","±0.9","861","±284","2.7%","±0.9","1,422","±395","4.4%","±1.2"
"        85 years and over","1,662","±428","2.6%","±0.7","615","±208","1.9%","±0.6","1,047","±323","3.2%","±1.0"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","6,907","±255","10.7%","±0.4","3,639","±256","11.2%","±0.7","3,268","±65","10.1%","±0.2"
"        15 to 17 years","2,075","±19","3.2%","±0.1","1,025","±5","3.2%","±0.1","1,050","±18","3.2%","±0.1"
"        Under 18 years","12,357","±48","19.1%","±0.1","6,322","±253","19.5%","±0.6","6,035","±248","18.7%","±0.6"
"        18 to 24 years","4,227","±119","6.5%","±0.2","2,229","±109","6.9%","±0.3","1,998","±40","6.2%","±0.1"
"        15 to 44 years","20,610","±281","31.8%","±0.4","10,832","±292","33.4%","±0.7","9,778","±56","30.2%","±0.4"
"        16 years and over","53,798","±308","83.1%","±0.5","26,855","±273","82.9%","±0.8","26,943","±341","83.4%","±1.0"
"        18 years and over","52,378","±48","80.9%","±0.1","26,088","±215","80.5%","±0.6","26,290","±227","81.3%","±0.6"
"        21 years and over","50,778","±271","78.4%","±0.4","25,266","±250","78.0%","±0.8","25,512","±301","78.9%","±0.9"
"        60 years and over","20,762","±763","32.1%","±1.2","9,683","±445","29.9%","±1.4","11,079","±475","34.3%","±1.3"
"        62 years and over","18,028","±782","27.8%","±1.2","8,143","±406","25.1%","±1.4","9,885","±493","30.6%","±1.5"
"        65 years and over","14,651","±204","22.6%","±0.3","6,646","±96","20.5%","±0.4","8,005","±177","24.8%","±0.4"
"        75 years and over","6,326","±114","9.8%","±0.2","2,553","±182","7.9%","±0.1","3,773","±114","11.7%","±0.3"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","47.3","±0.6","(X)","(X)","45.7","±1.5","(X)","(X)","48.9","±0.7","(X)","(X)"
"        Sex ratio (males per 100 females)","100.3","±2.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","71.6","±1.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","38.8","±0.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","32.8","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
