"Label","Armstrong County, Pennsylvania!!Estimate","Armstrong County, Pennsylvania!!Margin of Error"
"Total:","65,867","*****"
"    White alone","64,325","±85"
"    Black or African American alone","548","±81"
"    American Indian and Alaska Native alone","26","±24"
"    Asian alone","201","±32"
"    Native Hawaiian and Other Pacific Islander alone","0","±24"
"    Some other race alone","34","±27"
"    Two or more races:","733","±124"
"        Two races including Some other race","99","±97"
"        Two races excluding Some other race, and three or more races","634","±91"
