"Label","Cibola County, New Mexico!!Total!!Estimate","Cibola County, New Mexico!!Total!!Margin of Error","Cibola County, New Mexico!!Percent!!Estimate","Cibola County, New Mexico!!Percent!!Margin of Error","Cibola County, New Mexico!!Male!!Estimate","Cibola County, New Mexico!!Male!!Margin of Error","Cibola County, New Mexico!!Percent Male!!Estimate","Cibola County, New Mexico!!Percent Male!!Margin of Error","Cibola County, New Mexico!!Female!!Estimate","Cibola County, New Mexico!!Female!!Margin of Error","Cibola County, New Mexico!!Percent Female!!Estimate","Cibola County, New Mexico!!Percent Female!!Margin of Error"
"Total population","26,891","*****","(X)","(X)","13,612","±133","(X)","(X)","13,279","±133","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","1,776","±42","6.6%","±0.2","906","±51","6.7%","±0.4","870","±30","6.6%","±0.2"
"        5 to 9 years","1,793","±215","6.7%","±0.8","959","±138","7.0%","±1.0","834","±144","6.3%","±1.1"
"        10 to 14 years","1,689","±201","6.3%","±0.7","760","±140","5.6%","±1.0","929","±131","7.0%","±1.0"
"        15 to 19 years","1,799","±124","6.7%","±0.5","845","±147","6.2%","±1.0","954","±112","7.2%","±0.8"
"        20 to 24 years","1,700","±116","6.3%","±0.4","850","±93","6.2%","±0.7","850","±69","6.4%","±0.5"
"        25 to 29 years","1,991","±91","7.4%","±0.3","1,100","±63","8.1%","±0.5","891","±69","6.7%","±0.5"
"        30 to 34 years","1,801","±123","6.7%","±0.5","994","±86","7.3%","±0.6","807","±90","6.1%","±0.7"
"        35 to 39 years","1,774","±258","6.6%","±1.0","1,072","±195","7.9%","±1.4","702","±146","5.3%","±1.1"
"        40 to 44 years","1,718","±253","6.4%","±0.9","933","±187","6.9%","±1.4","785","±145","5.9%","±1.1"
"        45 to 49 years","1,484","±70","5.5%","±0.3","783","±65","5.8%","±0.5","701","±22","5.3%","±0.2"
"        50 to 54 years","1,577","±16","5.9%","±0.1","798","±16","5.9%","±0.1","779","±3","5.9%","±0.1"
"        55 to 59 years","1,542","±190","5.7%","±0.7","729","±134","5.4%","±1.0","813","±124","6.1%","±0.9"
"        60 to 64 years","2,050","±227","7.6%","±0.8","1,005","±142","7.4%","±1.0","1,045","±163","7.9%","±1.2"
"        65 to 69 years","1,295","±195","4.8%","±0.7","550","±138","4.0%","±1.0","745","±110","5.6%","±0.8"
"        70 to 74 years","1,222","±187","4.5%","±0.7","677","±135","5.0%","±1.0","545","±110","4.1%","±0.8"
"        75 to 79 years","774","±181","2.9%","±0.7","342","±125","2.5%","±0.9","432","±110","3.3%","±0.8"
"        80 to 84 years","416","±109","1.5%","±0.4","188","±73","1.4%","±0.5","228","±73","1.7%","±0.6"
"        85 years and over","490","±142","1.8%","±0.5","121","±88","0.9%","±0.6","369","±106","2.8%","±0.8"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","3,482","±100","12.9%","±0.4","1,719","±66","12.6%","±0.5","1,763","±82","13.3%","±0.6"
"        15 to 17 years","1,112","±101","4.1%","±0.4","457","±122","3.4%","±0.9","655","±103","4.9%","±0.8"
"        Under 18 years","6,370","±43","23.7%","±0.2","3,082","±120","22.6%","±0.7","3,288","±116","24.8%","±0.7"
"        18 to 24 years","2,387","±93","8.9%","±0.3","1,238","±61","9.1%","±0.5","1,149","±69","8.7%","±0.5"
"        15 to 44 years","10,783","±137","40.1%","±0.5","5,794","±139","42.6%","±0.8","4,989","±114","37.6%","±0.7"
"        16 years and over","21,370","±113","79.5%","±0.4","10,862","±115","79.8%","±0.6","10,508","±124","79.1%","±0.7"
"        18 years and over","20,521","±43","76.3%","±0.2","10,530","±60","77.4%","±0.7","9,991","±71","75.2%","±0.7"
"        21 years and over","19,551","±146","72.7%","±0.5","10,040","±111","73.8%","±0.9","9,511","±120","71.6%","±1.0"
"        60 years and over","6,247","±226","23.2%","±0.8","2,883","±142","21.2%","±1.0","3,364","±163","25.3%","±1.2"
"        62 years and over","5,380","±206","20.0%","±0.8","2,477","±132","18.2%","±1.0","2,903","±152","21.9%","±1.1"
"        65 years and over","4,197","±9","15.6%","±0.1","1,878","±8","13.8%","±0.1","2,319","±2","17.5%","±0.2"
"        75 years and over","1,680","±87","6.2%","±0.3","651","±87","4.8%","±0.6","1,029","±4","7.7%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","37.3","±0.7","(X)","(X)","36.1","±0.6","(X)","(X)","38.6","±0.8","(X)","(X)"
"        Sex ratio (males per 100 females)","102.5","±2.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","64.7","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","25.7","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","39.0","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","5.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
