"Label","Cibola County, New Mexico!!Estimate","Cibola County, New Mexico!!Margin of Error","Cibola County, New Mexico!!Percent","Cibola County, New Mexico!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","11,397","±94","11,397","(X)"
"        Occupied housing units","8,708","±335","76.4%","±2.8"
"        Vacant housing units","2,689","±312","23.6%","±2.8"
"        Homeowner vacancy rate","1.0","±0.9","(X)","(X)"
"        Rental vacancy rate","4.9","±2.5","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","11,397","±94","11,397","(X)"
"        1-unit, detached","6,854","±330","60.1%","±2.7"
"        1-unit, attached","253","±57","2.2%","±0.5"
"        2 units","49","±26","0.4%","±0.2"
"        3 or 4 units","363","±132","3.2%","±1.2"
"        5 to 9 units","306","±95","2.7%","±0.8"
"        10 to 19 units","89","±55","0.8%","±0.5"
"        20 or more units","230","±74","2.0%","±0.6"
"        Mobile home","3,226","±336","28.3%","±3.0"
"        Boat, RV, van, etc.","27","±38","0.2%","±0.3"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","11,397","±94","11,397","(X)"
"        Built 2014 or later","92","±68","0.8%","±0.6"
"        Built 2010 to 2013","128","±57","1.1%","±0.5"
"        Built 2000 to 2009","1,279","±241","11.2%","±2.1"
"        Built 1990 to 1999","1,377","±222","12.1%","±2.0"
"        Built 1980 to 1989","1,626","±274","14.3%","±2.4"
"        Built 1970 to 1979","3,184","±305","27.9%","±2.7"
"        Built 1960 to 1969","1,704","±263","15.0%","±2.3"
"        Built 1950 to 1959","929","±177","8.2%","±1.5"
"        Built 1940 to 1949","376","±130","3.3%","±1.1"
"        Built 1939 or earlier","702","±129","6.2%","±1.1"
"ROOMS","","","",""
"    Total housing units","11,397","±94","11,397","(X)"
"        1 room","337","±86","3.0%","±0.8"
"        2 rooms","327","±109","2.9%","±1.0"
"        3 rooms","1,038","±189","9.1%","±1.6"
"        4 rooms","2,378","±312","20.9%","±2.7"
"        5 rooms","3,035","±321","26.6%","±2.8"
"        6 rooms","2,440","±273","21.4%","±2.4"
"        7 rooms","1,150","±227","10.1%","±2.0"
"        8 rooms","407","±134","3.6%","±1.2"
"        9 rooms or more","285","±85","2.5%","±0.8"
"        Median rooms","5.0","±0.2","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","11,397","±94","11,397","(X)"
"        No bedroom","337","±86","3.0%","±0.8"
"        1 bedroom","1,115","±205","9.8%","±1.8"
"        2 bedrooms","2,952","±324","25.9%","±2.8"
"        3 bedrooms","5,129","±315","45.0%","±2.8"
"        4 bedrooms","1,717","±213","15.1%","±1.9"
"        5 or more bedrooms","147","±67","1.3%","±0.6"
"HOUSING TENURE","","","",""
"    Occupied housing units","8,708","±335","8,708","(X)"
"        Owner-occupied","5,981","±284","68.7%","±3.1"
"        Renter-occupied","2,727","±319","31.3%","±3.1"
