"Label","Cibola County, New Mexico!!Estimate","Cibola County, New Mexico!!Margin of Error"
"Total:","26,891","*****"
"    White alone","12,932","±535"
"    Black or African American alone","297","±96"
"    American Indian and Alaska Native alone","11,172","±306"
"    Asian alone","40","±29"
"    Native Hawaiian and Other Pacific Islander alone","9","±11"
"    Some other race alone","1,583","±443"
"    Two or more races:","858","±244"
"        Two races including Some other race","136","±87"
"        Two races excluding Some other race, and three or more races","722","±212"
