"Label","Grand Forks County, North Dakota!!Estimate","Grand Forks County, North Dakota!!Margin of Error"
"Total:","69,451","*****"
"    White alone","59,697","±442"
"    Black or African American alone","1,695","±1,161"
"    American Indian and Alaska Native alone","2,067","±408"
"    Asian alone","2,175","±246"
"    Native Hawaiian and Other Pacific Islander alone","1,626","±1,525"
"    Some other race alone","363","±384"
"    Two or more races:","1,828","±930"
"        Two races including Some other race","0","±165"
"        Two races excluding Some other race, and three or more races","1,828","±930"
