"Label","Jefferson County, Kentucky!!Total!!Estimate","Jefferson County, Kentucky!!Total!!Margin of Error","Jefferson County, Kentucky!!Percent!!Estimate","Jefferson County, Kentucky!!Percent!!Margin of Error","Jefferson County, Kentucky!!Male!!Estimate","Jefferson County, Kentucky!!Male!!Margin of Error","Jefferson County, Kentucky!!Percent Male!!Estimate","Jefferson County, Kentucky!!Percent Male!!Margin of Error","Jefferson County, Kentucky!!Female!!Estimate","Jefferson County, Kentucky!!Female!!Margin of Error","Jefferson County, Kentucky!!Percent Female!!Estimate","Jefferson County, Kentucky!!Percent Female!!Margin of Error"
"Total population","766,757","*****","(X)","(X)","370,110","±469","(X)","(X)","396,647","±469","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","47,566","±164","6.2%","±0.1","24,420","±201","6.6%","±0.1","23,146","±164","5.8%","±0.1"
"        5 to 9 years","43,291","±2,652","5.6%","±0.3","22,790","±2,185","6.2%","±0.6","20,501","±1,527","5.2%","±0.4"
"        10 to 14 years","49,982","±2,629","6.5%","±0.3","25,066","±2,165","6.8%","±0.6","24,916","±1,487","6.3%","±0.4"
"        15 to 19 years","45,751","±774","6.0%","±0.1","22,821","±604","6.2%","±0.2","22,930","±818","5.8%","±0.2"
"        20 to 24 years","47,176","±758","6.2%","±0.1","23,924","±511","6.5%","±0.1","23,252","±561","5.9%","±0.1"
"        25 to 29 years","59,316","±250","7.7%","±0.1","29,603","±227","8.0%","±0.1","29,713","±70","7.5%","±0.1"
"        30 to 34 years","53,954","±121","7.0%","±0.1","26,875","±121","7.3%","±0.1","27,079","±4","6.8%","±0.1"
"        35 to 39 years","49,437","±2,994","6.4%","±0.4","23,842","±2,054","6.4%","±0.6","25,595","±1,919","6.5%","±0.5"
"        40 to 44 years","46,953","±2,957","6.1%","±0.4","23,584","±2,050","6.4%","±0.6","23,369","±1,895","5.9%","±0.5"
"        45 to 49 years","46,875","±635","6.1%","±0.1","22,282","±461","6.0%","±0.1","24,593","±412","6.2%","±0.1"
"        50 to 54 years","45,597","±548","5.9%","±0.1","22,055","±404","6.0%","±0.1","23,542","±354","5.9%","±0.1"
"        55 to 59 years","49,723","±2,962","6.5%","±0.4","23,417","±1,713","6.3%","±0.5","26,306","±2,198","6.6%","±0.6"
"        60 to 64 years","53,272","±2,920","6.9%","±0.4","25,013","±1,727","6.8%","±0.5","28,259","±2,156","7.1%","±0.5"
"        65 to 69 years","42,065","±2,025","5.5%","±0.3","18,636","±1,287","5.0%","±0.3","23,429","±1,543","5.9%","±0.4"
"        70 to 74 years","34,290","±1,949","4.5%","±0.3","16,054","±1,219","4.3%","±0.3","18,236","±1,545","4.6%","±0.4"
"        75 to 79 years","21,643","±2,073","2.8%","±0.3","8,731","±1,063","2.4%","±0.3","12,912","±1,456","3.3%","±0.4"
"        80 to 84 years","14,391","±2,046","1.9%","±0.3","6,302","±1,157","1.7%","±0.3","8,089","±1,214","2.0%","±0.3"
"        85 years and over","15,475","±1,789","2.0%","±0.2","4,695","±1,007","1.3%","±0.3","10,780","±1,143","2.7%","±0.3"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","93,273","±338","12.2%","±0.1","47,856","±199","12.9%","±0.1","45,417","±195","11.5%","±0.1"
"        15 to 17 years","27,715","±71","3.6%","±0.1","13,726","±395","3.7%","±0.1","13,989","±398","3.5%","±0.1"
"        Under 18 years","168,554","±316","22.0%","±0.1","86,002","±438","23.2%","±0.1","82,552","±451","20.8%","±0.1"
"        18 to 24 years","65,212","±190","8.5%","±0.1","33,019","±190","8.9%","±0.1","32,193","±2","8.1%","±0.1"
"        15 to 44 years","302,587","±359","39.5%","±0.1","150,649","±484","40.7%","±0.1","151,938","±469","38.3%","±0.1"
"        16 years and over","617,069","±1,336","80.5%","±0.2","293,134","±1,093","79.2%","±0.3","323,935","±901","81.7%","±0.2"
"        18 years and over","598,203","±316","78.0%","±0.1","284,108","±364","76.8%","±0.1","314,095","±264","79.2%","±0.1"
"        21 years and over","570,553","±1,736","74.4%","±0.2","269,836","±1,246","72.9%","±0.3","300,717","±1,258","75.8%","±0.3"
"        60 years and over","181,136","±2,930","23.6%","±0.4","79,431","±1,767","21.5%","±0.5","101,705","±2,167","25.6%","±0.5"
"        62 years and over","157,450","±2,560","20.5%","±0.3","68,729","±1,627","18.6%","±0.4","88,721","±1,564","22.4%","±0.4"
"        65 years and over","127,864","±194","16.7%","±0.1","54,418","±139","14.7%","±0.1","73,446","±236","18.5%","±0.1"
"        75 years and over","51,509","±470","6.7%","±0.1","19,728","±265","5.3%","±0.1","31,781","±309","8.0%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","38.5","±0.4","(X)","(X)","36.7","±0.3","(X)","(X)","40.3","±0.4","(X)","(X)"
"        Sex ratio (males per 100 females)","93.3","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","63.0","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","27.2","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","35.8","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
