"Label","Washington County, Oregon!!Total!!Estimate","Washington County, Oregon!!Total!!Margin of Error","Washington County, Oregon!!Percent!!Estimate","Washington County, Oregon!!Percent!!Margin of Error","Washington County, Oregon!!Male!!Estimate","Washington County, Oregon!!Male!!Margin of Error","Washington County, Oregon!!Percent Male!!Estimate","Washington County, Oregon!!Percent Male!!Margin of Error","Washington County, Oregon!!Female!!Estimate","Washington County, Oregon!!Female!!Margin of Error","Washington County, Oregon!!Percent Female!!Estimate","Washington County, Oregon!!Percent Female!!Margin of Error"
"Total population","589,481","*****","(X)","(X)","291,701","±80","(X)","(X)","297,780","±80","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","35,971","±62","6.1%","±0.1","18,473","±51","6.3%","±0.1","17,498","±40","5.9%","±0.1"
"        5 to 9 years","38,528","±964","6.5%","±0.2","19,262","±708","6.6%","±0.2","19,266","±648","6.5%","±0.2"
"        10 to 14 years","39,278","±964","6.7%","±0.2","20,636","±711","7.1%","±0.2","18,642","±648","6.3%","±0.2"
"        15 to 19 years","35,820","±113","6.1%","±0.1","18,320","±48","6.3%","±0.1","17,500","±118","5.9%","±0.1"
"        20 to 24 years","35,499","±125","6.0%","±0.1","17,727","±107","6.1%","±0.1","17,772","±74","6.0%","±0.1"
"        25 to 29 years","44,997","±123","7.6%","±0.1","22,912","±99","7.9%","±0.1","22,085","±80","7.4%","±0.1"
"        30 to 34 years","47,412","*****","8.0%","*****","24,233","*****","8.3%","±0.1","23,179","*****","7.8%","±0.1"
"        35 to 39 years","45,559","±1,128","7.7%","±0.2","22,930","±757","7.9%","±0.3","22,629","±666","7.6%","±0.2"
"        40 to 44 years","43,112","±1,138","7.3%","±0.2","21,787","±752","7.5%","±0.3","21,325","±672","7.2%","±0.2"
"        45 to 49 years","41,218","±120","7.0%","±0.1","20,696","±94","7.1%","±0.1","20,522","±77","6.9%","±0.1"
"        50 to 54 years","37,271","±73","6.3%","±0.1","18,561","±58","6.4%","±0.1","18,710","±55","6.3%","±0.1"
"        55 to 59 years","35,289","±1,092","6.0%","±0.2","17,224","±690","5.9%","±0.2","18,065","±707","6.1%","±0.2"
"        60 to 64 years","33,166","±1,088","5.6%","±0.2","15,943","±689","5.5%","±0.2","17,223","±707","5.8%","±0.2"
"        65 to 69 years","27,180","±746","4.6%","±0.1","12,221","±455","4.2%","±0.2","14,959","±507","5.0%","±0.2"
"        70 to 74 years","19,320","±753","3.3%","±0.1","8,843","±443","3.0%","±0.2","10,477","±514","3.5%","±0.2"
"        75 to 79 years","12,241","±725","2.1%","±0.1","5,376","±414","1.8%","±0.1","6,865","±515","2.3%","±0.2"
"        80 to 84 years","8,000","±462","1.4%","±0.1","3,575","±316","1.2%","±0.1","4,425","±350","1.5%","±0.1"
"        85 years and over","9,620","±627","1.6%","±0.1","2,982","±323","1.0%","±0.1","6,638","±516","2.2%","±0.2"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","77,806","±62","13.2%","±0.1","39,898","±62","13.7%","±0.1","37,908","*****","12.7%","±0.1"
"        15 to 17 years","23,115","*****","3.9%","*****","11,815","±30","4.1%","±0.1","11,300","±29","3.8%","±0.1"
"        Under 18 years","136,892","*****","23.2%","*****","70,186","±51","24.1%","±0.1","66,706","±49","22.4%","±0.1"
"        18 to 24 years","48,204","±123","8.2%","±0.1","24,232","±99","8.3%","±0.1","23,972","±80","8.1%","±0.1"
"        15 to 44 years","252,399","±124","42.8%","±0.1","127,909","±109","43.8%","±0.1","124,490","±91","41.8%","±0.1"
"        16 years and over","467,997","±451","79.4%","±0.1","229,288","±323","78.6%","±0.1","238,709","±320","80.2%","±0.1"
"        18 years and over","452,589","*****","76.8%","*****","221,515","±67","75.9%","±0.1","231,074","±66","77.6%","±0.1"
"        21 years and over","433,879","±704","73.6%","±0.1","211,705","±413","72.6%","±0.1","222,174","±483","74.6%","±0.2"
"        60 years and over","109,527","±1,092","18.6%","±0.2","48,940","±700","16.8%","±0.2","60,587","±712","20.3%","±0.2"
"        62 years and over","95,411","±895","16.2%","±0.2","42,067","±595","14.4%","±0.2","53,344","±586","17.9%","±0.2"
"        65 years and over","76,361","±76","13.0%","±0.1","32,997","±59","11.3%","±0.1","43,364","±67","14.6%","±0.1"
"        75 years and over","29,861","±136","5.1%","±0.1","11,933","±93","4.1%","±0.1","17,928","±102","6.0%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","36.7","±0.1","(X)","(X)","35.8","±0.2","(X)","(X)","37.6","±0.2","(X)","(X)"
"        Sex ratio (males per 100 females)","98.0","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","56.7","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","20.3","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","36.4","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
