"Label","Washington County, Oregon!!Estimate","Washington County, Oregon!!Margin of Error"
"Total:","589,481","*****"
"    White alone","447,201","±2,484"
"    Black or African American alone","11,897","±609"
"    American Indian and Alaska Native alone","3,446","±671"
"    Asian alone","62,545","±1,032"
"    Native Hawaiian and Other Pacific Islander alone","2,514","±340"
"    Some other race alone","29,894","±2,500"
"    Two or more races:","31,984","±1,613"
"        Two races including Some other race","4,845","±1,003"
"        Two races excluding Some other race, and three or more races","27,139","±1,412"
